2026-07-19 22:27:24 | WARNING  | src.url_checker | phishing_classifier not found — URL analysis will use heuristics only. Run `python -m src.phishing_model` to train it.
2026-07-19 22:27:24 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-19 22:28:17 | INFO     | src.predict | Analyzed email: spam=ham (95.9%), urls=1, risk_score=0, final=Safe
2026-07-19 22:28:47 | INFO     | src.predict | Analyzed email: spam=ham (58.6%), urls=1, risk_score=15, final=Safe
2026-07-19 22:29:11 | INFO     | src.predict | Analyzed email: spam=spam (67.1%), urls=1, risk_score=100, final=Critical Risk
2026-07-19 22:30:22 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=69, final=Spam
2026-07-19 22:31:08 | INFO     | src.predict | Analyzed email: spam=ham (92.2%), urls=1, risk_score=0, final=Safe
2026-07-19 22:31:29 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=35, final=Safe
2026-07-19 23:14:27 | WARNING  | src.url_checker | phishing_classifier not found — URL analysis will use heuristics only. Run `python -m src.phishing_model` to train it.
2026-07-19 23:14:27 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-19 23:15:27 | INFO     | src.predict | Analyzed email: spam=ham (66.6%), urls=1, risk_score=59, final=Spam
2026-07-19 23:15:50 | INFO     | src.predict | Analyzed email: spam=ham (74.8%), urls=1, risk_score=96, final=Critical Risk
2026-07-19 23:16:06 | INFO     | src.predict | Analyzed email: spam=ham (64.8%), urls=1, risk_score=48, final=Spam
2026-07-19 23:16:28 | INFO     | src.predict | Analyzed email: spam=ham (64.5%), urls=1, risk_score=56, final=Spam
2026-07-19 23:16:41 | INFO     | src.predict | Analyzed email: spam=spam (77.9%), urls=0, risk_score=78, final=Malicious
2026-07-19 23:17:07 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=100, final=Critical Risk
2026-07-19 23:17:23 | INFO     | src.predict | Analyzed email: spam=ham (92.0%), urls=1, risk_score=0, final=Safe
2026-07-19 23:18:26 | WARNING  | src.url_checker | phishing_classifier not found — URL analysis will use heuristics only. Run `python -m src.phishing_model` to train it.
2026-07-19 23:18:26 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-19 23:18:47 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=0, final=Safe
2026-07-19 23:19:16 | INFO     | src.predict | Analyzed email: spam=ham (86.3%), urls=2, risk_score=43, final=Spam
2026-07-19 23:19:56 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=0, final=Safe
2026-07-20 10:01:50 | WARNING  | src.url_checker | phishing_classifier not found — URL analysis will use heuristics only. Run `python -m src.phishing_model` to train it.
2026-07-20 10:01:50 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-20 13:27:03 | WARNING  | src.url_checker | phishing_classifier not found — URL analysis will use heuristics only. Run `python -m src.phishing_model` to train it.
2026-07-20 13:27:03 | INFO     | src.predict | Spam classifier and vectorizer loaded successfully.
2026-07-20 13:27:28 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=48, final=Spam
2026-07-20 13:28:16 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=10, final=Safe
2026-07-20 13:29:03 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=0, final=Safe
2026-07-20 13:29:08 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=0, final=Safe
2026-07-20 13:29:08 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=0, final=Safe
2026-07-20 13:29:18 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=8, final=Safe
2026-07-20 13:29:28 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=8, final=Safe
2026-07-20 13:29:41 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=0, final=Safe
2026-07-20 13:29:53 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=0, final=Safe
2026-07-20 13:30:40 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=0, final=Safe
2026-07-20 13:31:05 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=0, final=Safe
2026-07-20 13:31:31 | INFO     | src.predict | Analyzed email: spam=ham (87.4%), urls=1, risk_score=10, final=Safe
